,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample212,Sample212,UK,Wild,NA,NA,Skokholm,18/07/2019,Faeces,DNA/RNA Shield,NA,SK0014,NA,25.9,Female,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Sample213,Sample213,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,12:58:42,SK0222,NA,24.2,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample214,Sample214,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0236,NA,12,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample215,Sample215,UK,Wild,NA,NA,Skokholm,11/07/2019,Faeces,No preservative,NA,SK0001,NA,NA,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample216,Sample216,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,98% ethanol,NA,SK0043,NA,21.3,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample217,Sample217,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,DNA/RNA Shield,NA,X041A556696,NA,23.6,Female,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Sample218,Sample218,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,98% ethanol,NA,X041A556696,NA,23.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample219,Sample219,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,98% ethanol,NA,X041A557019,NA,24.9,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample22,Sample22,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,13:04:12,SK0279,NA,20.2,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample220,Sample220,UK,Wild,NA,NA,Skokholm,16/07/2019,Faeces,98% ethanol,NA,SK0022,NA,22.5,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample221,Sample221,UK,Wild,NA,NA,Skokholm,11/07/2019,Faeces,Shield,NA,SK0026,NA,10.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample222,Sample222,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,X041A1F2832,NA,28.8,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample223,Sample223,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,No preservative,NA,SK0001,NA,30.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample224,Sample224,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,DNA/RNA Shield,NA,SK0050,NA,24.8,Female,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Sample225,Sample225,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,No preservative,NA,SK0027,NA,30.1,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample226,Sample226,UK,Wild,NA,NA,Skokholm,16/07/2019,Faeces,No preservative,NA,SK0003,NA,25.1,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample227,Sample227,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,98% ethanol,NA,SK0027,NA,30.1,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample228,Sample228,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,DNA/RNA Shield,NA,SK0061,NA,25.5,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample229,Sample229,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,X041A1F23F9,NA,23.5,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample23,Sample23,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0044,NA,26.2,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample230,Sample230,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0282,NA,13.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample231,Sample231,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,No preservative,NA,X041A556696,NA,25.1,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample232,Sample232,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,No preservative,NA,X041A556696,NA,23.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
