,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample358,Sample358,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,SK0261,NA,21.4,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample359,Sample359,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0209,NA,26,Male,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sample36,Sample36,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0271,NA,22.7,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample362,Sample362,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0094,NA,14.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample366,Sample366,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,14:43:00,SK0224,NA,21.4,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample369,Sample369,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,X041A557019,NA,22,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample374,Sample374,UK,Wild,NA,NA,Skokholm,23/08/2020,Faeces,Shield,NA,SK0057,NA,21.1,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample375,Sample375,UK,Wild,NA,NA,Skokholm,01/09/2020,Faeces,Shield,NA,SK0223,NA,5.4,Unknown,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample376,Sample376,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,Shield,NA,SK0013,NA,25.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample377,Sample377,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,X041A556CB0,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample38,Sample38,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,SK0208,NA,27.1,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample381,Sample381,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0064,NA,20.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample382,Sample382,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0069,NA,18.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample385,Sample385,UK,Wild,NA,NA,Skokholm,10/07/2019,Faeces,Shield,NA,SK0022,NA,15.4,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample386,Sample386,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,X041A557019,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample390,Sample390,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0120,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample398,Sample398,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,X041A556CB0,NA,22.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample40,Sample40,UK,Wild,NA,NA,Isle_of_May,29/08/2018,Faeces,No preservative,NA,Sample40,NA,22.5,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample400,Sample400,UK,Wild,NA,NA,Skokholm,18/09/2019,Faeces,Shield,NA,SK0050,NA,25.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample405,Sample405,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,X041917E111,NA,15,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample406,Sample406,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0056,NA,16.9,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample407,Sample407,UK,Wild,NA,NA,Skokholm,02/05/2019,Faeces,Shield,NA,SK0009,NA,21.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample408,Sample408,UK,Wild,NA,NA,Skokholm,20/09/2019,Faeces,Shield,NA,SK0075,NA,19,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample410,Sample410,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0162,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample415,Sample415,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0124,NA,17.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample416,Sample416,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0083,NA,17.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample42,Sample42,UK,Wild,NA,NA,Skokholm,19/08/2020,Faeces,Shield,13:15:11,SK0208,NA,27.4,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample421,Sample421,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0077,NA,14.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample425,Sample425,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,Shield,NA,SK0022,NA,19.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample426,Sample426,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0135,NA,17.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample429,Sample429,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0062,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample431,Sample431,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0029,NA,28.9,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample432,Sample432,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0069,NA,16.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample437,Sample437,UK,Wild,NA,NA,Skokholm,02/05/2019,Faeces,DNA/RNA Shield,NA,SK0014,NA,21.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample438,Sample438,UK,Wild,NA,NA,Skokholm,20/07/2019,Faeces,Shield,NA,SK0029,NA,16,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample441,Sample441,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,Shield,NA,SK0028,NA,21.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample445,Sample445,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0057,NA,21.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample446,Sample446,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0129,NA,23.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample45,Sample45,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,18:09:37,SK0026,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample454,Sample454,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,Shield,NA,SK0041,NA,23.4,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample46,Sample46,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0064,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample461,Sample461,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0061,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample464,Sample464,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,X041A556CB0,NA,23.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample465,Sample465,UK,Wild,NA,NA,Skokholm,20/09/2019,Faeces,Shield,NA,SK0063,NA,19.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample469,Sample469,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0062,NA,14.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample470,Sample470,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0135,NA,19.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample471,Sample471,UK,Wild,NA,NA,Skokholm,02/05/2019,Faeces,DNA/RNA Shield,NA,SK0013,NA,20.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample472,Sample472,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0066,NA,23.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample473,Sample473,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,Shield,NA,SK0013,NA,22.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample476,Sample476,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0128,NA,10.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample477,Sample477,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0034,NA,20.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample478,Sample478,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0059,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample480,Sample480,UK,Wild,NA,NA,Skokholm,16/09/2020,Faeces,Shield,NA,X041A1F2404,NA,19.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample485,Sample485,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0130,NA,15.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample486,Sample486,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0019,NA,24.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample492,Sample492,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0060,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample494,Sample494,UK,Wild,NA,NA,Skokholm,20/09/2019,Faeces,Shield,NA,X041917E111,NA,15.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample495,Sample495,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0257,NA,23.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample496,Sample496,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,SK0249,NA,20.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample50,Sample50,UK,Wild,NA,NA,Skokholm,26/08/2020,Faeces,Shield,NA,SK0223,NA,4.6,Unknown,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample500,Sample500,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0163,NA,23.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample502,Sample502,UK,Wild,NA,NA,Skokholm,21/09/2019,Faeces,Shield,NA,SK0019,NA,27.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample503,Sample503,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,X041A1F335E,NA,17.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample504,Sample504,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0247,NA,11.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample509,Sample509,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0050,NA,24.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample51,Sample51,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0075,NA,19.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample510,Sample510,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0028,NA,23.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample512,Sample512,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,SK0255,NA,9.4,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample513,Sample513,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0224,NA,21.3,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample518,Sample518,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0056,NA,18.4,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample521,Sample521,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0276,NA,21.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample524,Sample524,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,Shield,NA,SK0033,NA,24,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample526,Sample526,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0099,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample528,Sample528,UK,Wild,NA,NA,Skokholm,26/08/2020,Faeces,Shield,NA,SK0203,NA,20.1,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample53,Sample53,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,SK0211,NA,16.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample532,Sample532,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,X041917F18E,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample536,Sample536,UK,Wild,NA,NA,Skokholm,22/08/2020,Faeces,Shield,NA,SK0179,NA,22.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample54,Sample54,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,18:14:57,SK0050,NA,23.8,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample540,Sample540,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0074,NA,19.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample542,Sample542,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,X041A1F294B,NA,16.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample543,Sample543,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,X041A1F2990,NA,26.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample548,Sample548,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0019,NA,26.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample549,Sample549,UK,Wild,NA,NA,Skokholm,20/09/2019,Faeces,Shield,NA,SK0061,NA,23,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample55,Sample55,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,SK0235,NA,17.6,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample551,Sample551,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0317,NA,19.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample552,Sample552,UK,Wild,NA,NA,Skokholm,06/09/2020,Faeces,Shield,NA,SK0253,NA,21.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample560,Sample560,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,SK0266,NA,14.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample566,Sample566,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0250,NA,13.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample567,Sample567,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0249,NA,18.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample568,Sample568,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,SK0282,NA,13.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample57,Sample57,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,SK0236,NA,12.5,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample571,Sample571,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,Shield,NA,SK0034,NA,10.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample572,Sample572,UK,Wild,NA,NA,Skokholm,18/07/2019,Faeces,Shield,NA,X041A556B64,NA,23,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample574,Sample574,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,Shield,NA,SK0038,NA,13,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample575,Sample575,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0227,NA,19.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample576,Sample576,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0223,NA,9,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample582,Sample582,UK,Wild,NA,NA,Skokholm,11/07/2019,Faeces,Shield,NA,SK0019,NA,25.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample583,Sample583,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,SK0224,NA,22.4,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample585,Sample585,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,SK0222,NA,26.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample587,Sample587,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0065,NA,18.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample589,Sample589,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0118,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample59,Sample59,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,SK0271,NA,26.6,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample590,Sample590,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,Shield,NA,X041A556696,NA,26.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample593,Sample593,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,SK0224,NA,22,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample596,Sample596,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0046,NA,19.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample597,Sample597,UK,Wild,NA,NA,Skokholm,11/07/2019,Faeces,Shield,NA,SK0024,NA,9.9,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample598,Sample598,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0043,NA,23.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample60,Sample60,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,17:24:07,SK0167,NA,NA,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample600,Sample600,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,SK0272,NA,19.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample601,Sample601,UK,Wild,NA,NA,Skokholm,16/09/2020,Faeces,Shield,NA,SK0264,NA,22.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample603,Sample603,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0135,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample604,Sample604,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0100,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample605,Sample605,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0099,NA,23.5,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample606,Sample606,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0209,NA,23.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample607,Sample607,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,SK0223,NA,7.5,Unknown,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample608,Sample608,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,X041A1F294B,NA,16.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample609,Sample609,UK,Wild,NA,NA,Skokholm,06/09/2020,Faeces,Shield,NA,X041A1F2DB5,NA,19.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample616,Sample616,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0234,NA,18.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample617,Sample617,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0179,NA,22.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample62,Sample62,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0288,NA,20,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample622,Sample622,UK,Wild,NA,NA,Skokholm,01/09/2020,Faeces,Shield,NA,SK0235,NA,17.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample623,Sample623,UK,Wild,NA,NA,Skokholm,28/08/2020,Faeces,Shield,NA,SK0211,NA,18,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample624,Sample624,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,X041A1F2AAE,NA,18.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample627,Sample627,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,Shield,NA,SK0027,NA,29.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample629,Sample629,UK,Wild,NA,NA,Skokholm,20/07/2019,Faeces,Shield,NA,SK0030,NA,18,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample630,Sample630,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0261,NA,21.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample632,Sample632,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,SK0206,NA,21.3,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample636,Sample636,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0100,NA,16.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample637,Sample637,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,Shield,NA,SK0024,NA,10.5,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample638,Sample638,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,SK0266,NA,18.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample639,Sample639,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0255,NA,9.8,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample640,Sample640,UK,Wild,NA,NA,Skokholm,22/09/2020,Faeces,Shield,NA,X041A1F2324,NA,24.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample645,Sample645,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,X041918200B,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample646,Sample646,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,X041A1F335E,NA,17.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample648,Sample648,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,SK0231,NA,16.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample65,Sample65,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0108,NA,13.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample651,Sample651,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0120,NA,15.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample653,Sample653,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0107,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample654,Sample654,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0315,NA,7.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample655,Sample655,UK,Wild,NA,NA,Skokholm,19/08/2020,Faeces,Shield,NA,SK0179,NA,24.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample662,Sample662,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0266,NA,15,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample663,Sample663,UK,Wild,NA,NA,Skokholm,02/09/2020,Faeces,Shield,NA,SK0224,NA,22.4,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample664,Sample664,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,X041A1F2AAE,NA,18.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
